datetime,open,high,low,close,volume
2025-06-12 23:00:00,3441.28,3444.39,3423.69,3425.45,16943
2025-06-13 00:00:00,3425.44,3430.3,3422.5,3425.23,9152
2025-06-13 01:00:00,3425.28,3428.73,3417.89,3425.99,12099
2025-06-13 02:00:00,3426.0,3428.63,3408.39,3416.25,15397
2025-06-13 03:00:00,3416.26,3418.95,3407.88,3414.86,12585
2025-06-13 04:00:00,3414.85,3426.0,3414.26,3424.19,10365
2025-06-13 05:00:00,3424.19,3427.29,3419.93,3424.26,11602
2025-06-13 06:00:00,3424.05,3427.62,3411.48,3415.77,13077
2025-06-13 07:00:00,3415.79,3423.01,3412.44,3422.15,11369
2025-06-13 08:00:00,3422.24,3438.06,3421.64,3436.57,13188
2025-06-13 09:00:00,3436.47,3446.7,3433.9,3436.82,23478
2025-06-13 10:00:00,3436.84,3439.74,3423.68,3427.82,20177
2025-06-13 11:00:00,3427.82,3430.32,3420.89,3426.15,17322
2025-06-13 12:00:00,3426.31,3431.02,3419.16,3429.95,11888
2025-06-13 13:00:00,3429.94,3433.38,3427.4,3430.32,11126
2025-06-13 14:00:00,3430.4,3439.4,3428.66,3436.54,13593
2025-06-13 15:00:00,3436.52,3438.11,3431.69,3432.34,11812
2025-06-13 16:00:00,3432.27,3434.7,3428.98,3433.4,6860
2025-06-15 18:00:00,3442.76,3451.01,3437.12,3448.25,11518
2025-06-15 19:00:00,3448.25,3449.98,3439.34,3444.09,7298
2025-06-15 20:00:00,3444.12,3451.15,3434.12,3436.21,12643
2025-06-15 21:00:00,3436.15,3443.02,3433.11,3441.45,13402
2025-06-15 22:00:00,3441.44,3446.26,3437.84,3438.26,10907
2025-06-15 23:00:00,3438.23,3439.54,3429.15,3431.49,8962
2025-06-16 00:00:00,3431.49,3433.22,3426.82,3427.44,7061
2025-06-16 01:00:00,3427.49,3430.34,3417.73,3421.53,13266
2025-06-16 02:00:00,3421.45,3421.48,3412.94,3418.17,15113
2025-06-16 03:00:00,3418.07,3419.68,3409.45,3412.49,11989
2025-06-16 04:00:00,3412.5,3418.46,3409.76,3413.86,10969
2025-06-16 05:00:00,3413.94,3419.41,3411.84,3412.0,10532
2025-06-16 06:00:00,3412.0,3421.19,3410.64,3421.0,8543
2025-06-16 07:00:00,3421.01,3422.6,3410.8,3415.03,10508
2025-06-16 08:00:00,3415.03,3417.68,3411.02,3415.47,13781
2025-06-16 09:00:00,3415.5,3417.99,3382.79,3388.11,25799
2025-06-16 10:00:00,3388.09,3399.42,3387.33,3396.94,24003
2025-06-16 11:00:00,3397.04,3405.59,3397.04,3404.43,15468
2025-06-16 12:00:00,3404.43,3404.97,3397.32,3399.4,9876
2025-06-16 13:00:00,3399.41,3400.28,3391.19,3392.58,9593
2025-06-16 14:00:00,3392.54,3393.96,3384.06,3385.22,8652
2025-06-16 15:00:00,3385.24,3388.4,3382.78,3383.94,10532
2025-06-16 16:00:00,3383.94,3386.02,3383.29,3384.78,3813
2025-06-16 18:00:00,3386.42,3398.43,3386.11,3395.44,5523
2025-06-16 19:00:00,3395.43,3402.84,3392.86,3402.77,7139
2025-06-16 20:00:00,3402.77,3403.21,3391.5,3394.18,10703
2025-06-16 21:00:00,3394.18,3402.5,3393.27,3393.65,11238
2025-06-16 22:00:00,3393.65,3400.32,3388.58,3390.02,10300
2025-06-16 23:00:00,3390.0,3392.57,3373.85,3387.5,12742
2025-06-17 00:00:00,3387.49,3396.22,3386.97,3393.93,7483
2025-06-17 01:00:00,3393.92,3395.44,3390.6,3392.48,8323
2025-06-17 02:00:00,3392.48,3392.48,3381.11,3385.48,12172
2025-06-17 03:00:00,3385.37,3391.86,3383.05,3387.68,10868
2025-06-17 04:00:00,3387.71,3388.58,3377.74,3378.82,9998
2025-06-17 05:00:00,3378.81,3385.87,3375.63,3385.57,11439
2025-06-17 06:00:00,3385.58,3398.69,3385.39,3398.1,12160
2025-06-17 07:00:00,3398.08,3400.1,3388.14,3388.47,11423
2025-06-17 08:00:00,3388.48,3391.53,3383.38,3386.62,16971
2025-06-17 09:00:00,3386.66,3397.38,3385.77,3390.57,22109
2025-06-17 10:00:00,3390.53,3391.89,3366.11,3384.98,25847
2025-06-17 11:00:00,3384.96,3388.25,3372.58,3379.26,15493
2025-06-17 12:00:00,3379.35,3385.87,3376.61,3382.86,11777
2025-06-17 13:00:00,3382.86,3391.26,3381.2,3390.35,12005
2025-06-17 14:00:00,3390.34,3392.4,3382.38,3382.77,9502
2025-06-17 15:00:00,3382.77,3386.31,3382.33,3385.66,8422
2025-06-17 16:00:00,3385.63,3390.25,3383.6,3388.72,4471
2025-06-17 18:00:00,3392.57,3396.07,3388.61,3388.78,4178
2025-06-17 19:00:00,3388.94,3390.27,3384.87,3387.3,4282
2025-06-17 20:00:00,3387.29,3388.78,3382.93,3385.79,7293
2025-06-17 21:00:00,3385.79,3388.6,3378.71,3379.0,10137
2025-06-17 22:00:00,3378.9,3379.62,3370.53,3379.31,10541
2025-06-17 23:00:00,3379.3,3391.46,3379.2,3390.96,9185
2025-06-18 00:00:00,3390.95,3399.94,3389.38,3395.13,7334
2025-06-18 01:00:00,3395.16,3395.59,3384.15,3386.4,10168
2025-06-18 02:00:00,3386.39,3386.85,3379.29,3382.37,10183
2025-06-18 03:00:00,3382.35,3386.07,3377.03,3385.87,9554
2025-06-18 04:00:00,3385.76,3388.31,3382.48,3383.53,7789
2025-06-18 05:00:00,3383.56,3385.5,3375.44,3378.11,8142
2025-06-18 06:00:00,3378.1,3382.32,3375.72,3380.14,9683
2025-06-18 07:00:00,3380.18,3386.97,3378.91,3382.03,9348
2025-06-18 08:00:00,3382.03,3389.81,3381.59,3386.59,11547
2025-06-18 09:00:00,3386.59,3396.73,3385.55,3392.18,14668
2025-06-18 10:00:00,3392.18,3392.37,3373.78,3386.82,24612
2025-06-18 11:00:00,3386.83,3392.81,3381.29,3392.66,12407
2025-06-18 12:00:00,3392.65,3394.62,3389.89,3391.01,9207
2025-06-18 13:00:00,3391.01,3391.17,3384.35,3385.1,8633
2025-06-18 14:00:00,3385.29,3395.62,3378.3,3379.02,22555
2025-06-18 15:00:00,3379.05,3379.11,3362.83,3366.71,20857
2025-06-18 16:00:00,3366.7,3369.27,3362.47,3368.42,6936
2025-06-18 18:00:00,3370.67,3379.75,3370.34,3375.14,5132
2025-06-18 19:00:00,3375.19,3376.98,3370.59,3375.0,4861
2025-06-18 20:00:00,3375.01,3383.19,3374.65,3379.44,7754
2025-06-18 21:00:00,3379.39,3387.93,3374.57,3374.83,12177
2025-06-18 22:00:00,3374.83,3379.5,3373.91,3376.65,6915
2025-06-18 23:00:00,3376.67,3377.22,3369.63,3373.59,6590
2025-06-19 00:00:00,3373.58,3375.1,3371.91,3374.47,4244
2025-06-19 01:00:00,3374.47,3375.22,3360.19,3364.54,9943
2025-06-19 02:00:00,3364.53,3364.72,3347.41,3357.36,20457
2025-06-19 03:00:00,3357.35,3369.06,3350.59,3365.87,15362
2025-06-19 04:00:00,3365.83,3371.54,3362.16,3368.6,9774
2025-06-19 05:00:00,3368.52,3373.59,3363.59,3370.25,8049
2025-06-19 06:00:00,3370.19,3379.03,3369.01,3374.89,7068
2025-06-19 07:00:00,3374.89,3375.42,3370.36,3371.92,6702
2025-06-19 08:00:00,3371.92,3372.46,3363.72,3367.89,8932
2025-06-19 09:00:00,3367.9,3372.92,3361.44,3369.42,12386
2025-06-19 10:00:00,3369.41,3370.93,3361.53,3364.61,10835
2025-06-19 11:00:00,3364.6,3371.9,3362.17,3369.2,11074
